time	V(o_1)	V(o_2)	V(o_3)	V(o_4)	V(o_5)	V(o_6)	V(o_7)	V(o_8)	V(o_9)	V(o_10)	V(o_11)	V(o_12)	V(o_13)	V(o_14)	V(o_15)	V(o_16)	V(o_17)	V(o_18)	V(o_19)	V(o_20)	V(o_21)	V(o_22)	V(o_23)	V(o_24)	V(o_25)	V(o_26)	V(o_27)	V(o_28)	V(o_29)	V(o_30)	V(o_31)	V(o_32)
0.000000000000000e+00	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05
3.124999824882790e-12	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05
6.249999649765581e-12	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05
1.249999929953116e-11	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05
2.499999859906232e-11	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05
4.999999719812465e-11	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05
9.999999439624929e-11	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05
1.999999887924986e-10	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05
3.999999775849972e-10	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05
6.499999775849971e-10	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05
1.000000000000000e-09	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05
1.700000044830006e-09	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05	1.804559e-05
